1. Evgenia MEDVEDEVA; RUS; 113,04
2. Kaetlyn OSMOND; CAN; 106,69
3. Carolina KOSTNER; ITA; 104,92
4. Gabrielle DALEMAN; CAN; 102,6
5. Ashley WAGNER; USA; 101,94
6. Maria SOTSKOVA; RUS; 95,41
7. Karen CHEN; USA; 94,96
8. Anna POGORILAYA; RUS; 93,16
9. Mai MIHARA; JPN; 92,6
10. Wakaba HIGUCHI; JPN; 91,74
11. Mariah BELL; USA; 89,78
12. Rika HONGO; JPN; 87,42
13. Elizabet TURSYNBAEVA; KAZ; 86,98
14. Dabin CHOI; KOR; 85,93
15. Loena HENDRICKX; BEL; 83,46
16. Nicole SCHOTT; GER; 80,11
17. Ivett TOTH; HUN; 80,07
18. Nicole RAJICOVA; SVK; 79,95
19. Xiangning LI; CHN; 79,19
20. Laurine LECAVELIER; FRA; 78,04
21. Angelina KUCHVALSKA; LAT; 77,7
22. Zijun LI; CHN; 76,11
23. Kailani CRAINE; AUS; 73,47
24. Anastasia GALUSTYAN; ARM; 73,02
